testid,description,accountnumber,amount,custref,cardtype,tokenisealgorithmid,ccnumber,cardholdername,cvn,expm,expy,apiuser,apipassword,maskedcc,trntype,DirectDebitReferenceID,OptusChannel,StaffUserID,StoreID,PaymentOrderID,expectedresp
212,BMUPFWEB-Pay and Tokenise with STT,62900878513,412,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
213,BMUPFAPP-Pay and Tokenise with STT,62900878513,413,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
214,BAMBUPFP-Pay and Tokenise with STT,62900878521,414,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
215,BMUPFWEB-Pay and Tokenise with STT,62900878521,415,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
216,BMUPFAPP-Pay and Tokenise with STT,62900878521,416,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
217,BAMBUPFP-Pay and Tokenise with STT,62900878547,417,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
218,BMUPFWEB-Pay and Tokenise with STT,62900878547,418,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
219,BMUPFAPP-Pay and Tokenise with STT,62900878547,419,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
220,BMUPFAPP-Pay and Tokenise with STT,62900878547,420,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
221,BAMBUPFP-Pay and Tokenise with STT,62198802241,421,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
222,BMUPFWEB-Pay and Tokenise with STT,62198802241,422,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
223,BMUPFAPP-Pay and Tokenise with STT,62198802241,423,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
224,BAMBUPFP-Pay and Tokenise with STT,62900847799,424,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
225,BMUPFWEB-Pay and Tokenise with STT,62900847799,425,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
226,BMUPFAPP-Pay and Tokenise with STT,62900847799,426,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
227,BAMBUPFP-Pay and Tokenise with STT,62900847807,427,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
228,BMUPFWEB-Pay and Tokenise with STT,62900847807,428,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
229,BMUPFAPP-Pay and Tokenise with STT,62900847807,429,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
230,BAMBUPFP-Pay and Tokenise with STT,62900849027,430,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
231,BMUPFWEB-Pay and Tokenise with STT,62900849027,431,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
232,BMUPFAPP-Pay and Tokenise with STT,62900849027,432,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
233,BAMBUPFP-Pay and Tokenise with STT,62900849050,433,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
234,BMUPFWEB-Pay and Tokenise with STT,62900849050,434,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
235,BMUPFAPP-Pay and Tokenise with STT,62900849050,435,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
236,BAMBUPFP-Pay and Tokenise with STT,62900849431,436,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
237,BMUPFWEB-Pay and Tokenise with STT,62900849431,437,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
238,BMUPFAPP-Pay and Tokenise with STT,62900849431,438,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
239,BAMBUPFP-Pay and Tokenise with STT,62900849464,439,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
240,BMUPFWEB-Pay and Tokenise with STT,62900849464,440,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
241,BMUPFAPP-Pay and Tokenise with STT,62900849464,441,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
242,BAMBUPFP-Pay and Tokenise with STT,62900851387,442,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
243,BMUPFWEB-Pay and Tokenise with STT,62900851387,443,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
244,BMUPFAPP-Pay and Tokenise with STT,62900851387,444,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
245,BAMBUPFP-Pay and Tokenise with STT,62900874561,445,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
246,BMUPFWEB-Pay and Tokenise with STT,62900874561,446,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
247,BMUPFAPP-Pay and Tokenise with STT,62900874561,447,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
248,BAMBUPFP-Pay and Tokenise with STT,62900877143,448,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
249,BMUPFWEB-Pay and Tokenise with STT,62900877143,449,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
250,BMUPFAPP-Pay and Tokenise with STT,62900877143,450,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
251,BAMBUPFP-Pay and Tokenise with STT,62900878513,451,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
252,BMUPFWEB-Pay and Tokenise with STT,62900878513,452,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
253,BMUPFAPP-Pay and Tokenise with STT,62900878513,453,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
254,BAMBUPFP-Pay and Tokenise with STT,62900878521,454,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
255,BMUPFWEB-Pay and Tokenise with STT,62900878521,455,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
256,BMUPFAPP-Pay and Tokenise with STT,62900878521,456,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
257,BAMBUPFP-Pay and Tokenise with STT,62900878547,457,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
258,BMUPFWEB-Pay and Tokenise with STT,62900878547,458,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
259,BMUPFAPP-Pay and Tokenise with STT,62900878547,459,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
260,BMUPFAPP-Pay and Tokenise with STT,62900878547,460,62900878547,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
261,BAMBUPFP-Pay and Tokenise with STT,62198802241,461,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
262,BMUPFWEB-Pay and Tokenise with STT,62198802241,462,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
263,BMUPFAPP-Pay and Tokenise with STT,62198802241,463,62198802241,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
264,BAMBUPFP-Pay and Tokenise with STT,62900847799,464,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
265,BMUPFWEB-Pay and Tokenise with STT,62900847799,465,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
266,BMUPFAPP-Pay and Tokenise with STT,62900847799,466,62900847799,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
267,BAMBUPFP-Pay and Tokenise with STT,62900847807,467,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
268,BMUPFWEB-Pay and Tokenise with STT,62900847807,468,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
269,BMUPFAPP-Pay and Tokenise with STT,62900847807,469,62900847807,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
270,BAMBUPFP-Pay and Tokenise with STT,62900849027,470,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
271,BMUPFWEB-Pay and Tokenise with STT,62900849027,471,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
272,BMUPFAPP-Pay and Tokenise with STT,62900849027,472,62900849027,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
273,BAMBUPFP-Pay and Tokenise with STT,62900849050,473,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
274,BMUPFWEB-Pay and Tokenise with STT,62900849050,474,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
275,BMUPFAPP-Pay and Tokenise with STT,62900849050,475,62900849050,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
276,BAMBUPFP-Pay and Tokenise with STT,62900849431,476,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
277,BMUPFWEB-Pay and Tokenise with STT,62900849431,477,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
278,BMUPFAPP-Pay and Tokenise with STT,62900849431,478,62900849431,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
279,BAMBUPFP-Pay and Tokenise with STT,62900849464,479,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
280,BMUPFWEB-Pay and Tokenise with STT,62900849464,480,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
281,BMUPFAPP-Pay and Tokenise with STT,62900849464,481,62900849464,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
282,BAMBUPFP-Pay and Tokenise with STT,62900851387,482,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
283,BMUPFWEB-Pay and Tokenise with STT,62900851387,483,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
284,BMUPFAPP-Pay and Tokenise with STT,62900851387,484,62900851387,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
285,BAMBUPFP-Pay and Tokenise with STT,62900874561,485,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
286,BMUPFWEB-Pay and Tokenise with STT,62900874561,486,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
287,BMUPFAPP-Pay and Tokenise with STT,62900874561,487,62900874561,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
288,BAMBUPFP-Pay and Tokenise with STT,62900877143,488,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
289,BMUPFWEB-Pay and Tokenise with STT,62900877143,489,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
290,BMUPFAPP-Pay and Tokenise with STT,62900877143,490,62900877143,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
291,BAMBUPFP-Pay and Tokenise with STT,62900878513,491,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
292,BMUPFWEB-Pay and Tokenise with STT,62900878513,492,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
293,BMUPFAPP-Pay and Tokenise with STT,62900878513,493,62900878513,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFAPP,SU100,Store100,PayOrder100,0
294,BAMBUPFP-Pay and Tokenise with STT,62900878521,494,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BAMBUPFP,SU100,Store100,PayOrder100,0
295,BMUPFWEB-Pay and Tokenise with STT,62900878521,495,62900878521,Visa,3,4895379987012315,MC STT,854,12,2022,bcc.hp.test,Qwerty@1234,426556******6545,2,DDRI100,BMUPFWEB,SU100,Store100,PayOrder100,0
